country,code,year,emission
India,IND,1966,171688393.5
India,IND,1967,172093127.1
India,IND,1968,187104611.6
India,IND,1969,190400378.4
India,IND,1970,194728956
India,IND,1971,205329544.8
India,IND,1972,217181944.9
India,IND,1973,223602295
India,IND,1974,231184714.5
India,IND,1975,251193313.9
India,IND,1976,262531754.5
India,IND,1977,277648315.9
India,IND,1978,281539159.7
India,IND,1979,295299010
India,IND,1980,312484903.3
India,IND,1981,337105182.8
India,IND,1982,347815634.1
India,IND,1983,376676324.9
India,IND,1984,385928830.6
India,IND,1985,424256027.2
India,IND,1986,455066525.5
India,IND,1987,486067297.8
India,IND,1988,525081666.9
India,IND,1989,576404547.7
India,IND,1990,616579098.4
India,IND,1991,656740892.9
India,IND,1992,698756949.7
India,IND,1993,722894259.4
India,IND,1994,764241966.7
India,IND,1995,811460787.1
India,IND,1996,878826964.5
India,IND,1997,915049313
India,IND,1998,933549258.1
India,IND,1999,995233071.6
India,IND,2000,1029637759
India,IND,2001,1035640714
India,IND,2002,1047595651
India,IND,2003,1091873009
India,IND,2004,1145545234
India,IND,2005,1210145667
India,IND,2006,1287149211
India,IND,2007,1390253491
India,IND,2008,1547991039
India,IND,2009,1720120560
India,IND,2010,1700027394
India,IND,2011,1817171600
India,IND,2012,1983758813
India,IND,2013,1997878578
India,IND,2014,2207533892
India,IND,2015,2276407195
India,IND,2016,2377447863
India,IND,2017,2466765373
Iran,IRN,1950,0
Iran,IRN,1951,6913968
Iran,IRN,1952,4092688
Iran,IRN,1953,3828880
Iran,IRN,1954,1044240
Iran,IRN,1955,15813824
Iran,IRN,1956,22808400
Iran,IRN,1957,21800800
Iran,IRN,1958,25230304
Iran,IRN,1959,25568708.44
Iran,IRN,1960,37358598.68
Iran,IRN,1961,36508758.69
Iran,IRN,1962,37428422.69
Iran,IRN,1963,41304934.69
Iran,IRN,1964,47519078.69
Iran,IRN,1965,53718388.4
Iran,IRN,1966,64103361.98
Iran,IRN,1967,67880945.98
Iran,IRN,1968,82329563
Iran,IRN,1969,83038744.63
Iran,IRN,1970,91787455.43
Iran,IRN,1971,101627830.2
Iran,IRN,1972,106015192.4
Iran,IRN,1973,129475308.9
Iran,IRN,1974,143775404.7
Iran,IRN,1975,139213971.4
Iran,IRN,1976,156459103.7
Iran,IRN,1977,163731941.3
Iran,IRN,1978,162103936.6
Iran,IRN,1979,163673260.7
Iran,IRN,1980,120564470.2
Iran,IRN,1981,112528566.4
Iran,IRN,1982,137514970.8
Iran,IRN,1983,149213431.3
Iran,IRN,1984,149942662.5
Iran,IRN,1985,159947109.7
Iran,IRN,1986,147536041.5
Iran,IRN,1987,158607352.3
Iran,IRN,1988,175107796.5
Iran,IRN,1989,190098001.6
Iran,IRN,1990,209238343.5
Iran,IRN,1991,225954206
Iran,IRN,1992,226957012.8
Iran,IRN,1993,235576603.6
Iran,IRN,1994,263520377.9
Iran,IRN,1995,271147525
Iran,IRN,1996,274007761.9
Iran,IRN,1997,267099278.9
Iran,IRN,1998,306006254.7
Iran,IRN,1999,379627035.1
Iran,IRN,2000,369263500.2
Iran,IRN,2001,394931363
Iran,IRN,2002,397798324.6
Iran,IRN,2003,413993478
Iran,IRN,2004,442089693.9
Iran,IRN,2005,463529961.4
Iran,IRN,2006,503790553.5
Iran,IRN,2007,513313832.8
Iran,IRN,2008,534910104.2
Iran,IRN,2009,546884971.4
Iran,IRN,2010,564034508.7
Iran,IRN,2011,579040046.4
Iran,IRN,2012,600680295.7
Iran,IRN,2013,608962881.9
Iran,IRN,2014,639111335.3
Iran,IRN,2015,630361828.9
Iran,IRN,2016,637562152.6
Iran,IRN,2017,672312342.6
Japan,JPN,1950,102559024
Japan,JPN,1951,123484128
Japan,JPN,1952,130434736
Japan,JPN,1953,145805216
Japan,JPN,1954,142577232
Japan,JPN,1955,141917712
Japan,JPN,1956,160688384
Japan,JPN,1957,188128080
Japan,JPN,1958,181221440
Japan,JPN,1959,192619987.1
Japan,JPN,1960,232499640.8
Japan,JPN,1961,282786899.7
Japan,JPN,1962,292864430.2
Japan,JPN,1963,324835463.1
Japan,JPN,1964,358891092.2
Japan,JPN,1965,386471179.1
Japan,JPN,1966,419245118.4
Japan,JPN,1967,489307428.3
Japan,JPN,1968,561912554.1
Japan,JPN,1969,653215419.5
Japan,JPN,1970,767963109.7
Japan,JPN,1971,796544396.7
Japan,JPN,1972,852170481
Japan,JPN,1973,914265673.7
Japan,JPN,1974,914306790.6
Japan,JPN,1975,868511411
Japan,JPN,1976,907145368.9
Japan,JPN,1977,933238704.2
Japan,JPN,1978,901591433.3
Japan,JPN,1979,953072922
Japan,JPN,1980,944870323.7
Japan,JPN,1981,926837367.6
Japan,JPN,1982,897409726.2
Japan,JPN,1983,880911503.7
Japan,JPN,1984,937072088.8
Japan,JPN,1985,912402996.2
Japan,JPN,1986,912262211.1
Japan,JPN,1987,902532780.2
Japan,JPN,1988,985467063.7
Japan,JPN,1989,1021684766
Japan,JPN,1990,1155263415
Japan,JPN,1991,1167040517
Japan,JPN,1992,1176942570
Japan,JPN,1993,1170196733
Japan,JPN,1994,1225173421
Japan,JPN,1995,1237852824
Japan,JPN,1996,1249875688
Japan,JPN,1997,1243367132
Japan,JPN,1998,1203710533
Japan,JPN,1999,1239840120
Japan,JPN,2000,1262734462
Japan,JPN,2001,1248087424
Japan,JPN,2002,1277236546
Japan,JPN,2003,1285385412
Japan,JPN,2004,1280036122
Japan,JPN,2005,1286856314
Japan,JPN,2006,1262639452
Japan,JPN,2007,1300051973
Japan,JPN,2008,1229245450
Japan,JPN,2009,1160203633
Japan,JPN,2010,1211572868
Japan,JPN,2011,1261398590
Japan,JPN,2012,1302082927
Japan,JPN,2013,1314069572
Japan,JPN,2014,1264173252
Japan,JPN,2015,1223666475
Japan,JPN,2016,1204318623
Japan,JPN,2017,1205061178
Russia,RUS,1959,854787568.4
Russia,RUS,1960,889982973
Russia,RUS,1961,917825759.3
Russia,RUS,1962,963317909.8
Russia,RUS,1963,1033106290
Russia,RUS,1964,1098722364
Russia,RUS,1965,1165558338
Russia,RUS,1966,1230917490
Russia,RUS,1967,1287125543
Russia,RUS,1968,1323305250
Russia,RUS,1969,1378150152
Russia,RUS,1970,1449570620
Russia,RUS,1971,1538242126
Russia,RUS,1972,1618414877
Russia,RUS,1973,1686754299
Russia,RUS,1974,1750971645
Russia,RUS,1975,1840500779
Russia,RUS,1976,1911326084
Russia,RUS,1977,1976296765
Russia,RUS,1978,2044124917
Russia,RUS,1979,2061009554
Russia,RUS,1980,2142090695
Russia,RUS,1981,2101221296
Russia,RUS,1982,2140779052
Russia,RUS,1983,2171089109
Russia,RUS,1984,2190289061
Russia,RUS,1985,2362132078
Russia,RUS,1986,2368149967
Russia,RUS,1987,2467724484
Russia,RUS,1988,2535287597
Russia,RUS,1989,2481717228
Russia,RUS,1990,2571210651
Russia,RUS,1991,2437038082
Russia,RUS,1992,1993217628
Russia,RUS,1993,1890935002
Russia,RUS,1994,1669637144
Russia,RUS,1995,1640263218
Russia,RUS,1996,1606949015
Russia,RUS,1997,1502137425
Russia,RUS,1998,1484852223
Russia,RUS,1999,1512984706
Russia,RUS,2000,1499616209
Russia,RUS,2001,1538244400
Russia,RUS,2002,1528961747
Russia,RUS,2003,1562472351
Russia,RUS,2004,1570864198
Russia,RUS,2005,1588662864
Russia,RUS,2006,1648658734
Russia,RUS,2007,1647728940
Russia,RUS,2008,1679794450
Russia,RUS,2009,1572439009
Russia,RUS,2010,1657560679
Russia,RUS,2011,1712424769
Russia,RUS,2012,1726099500
Russia,RUS,2013,1665988574
Russia,RUS,2014,1667110707
Russia,RUS,2015,1671895079
Russia,RUS,2016,1668069933
Russia,RUS,2017,1692794839
South Korea,KOR,1950,2183744
South Korea,KOR,1951,2923872
South Korea,KOR,1952,3462480
South Korea,KOR,1953,4693584
South Korea,KOR,1954,5158912
South Korea,KOR,1955,6444976
South Korea,KOR,1956,7555168
South Korea,KOR,1957,8214688
South Korea,KOR,1958,9009776
South Korea,KOR,1959,11221375.92
South Korea,KOR,1960,12540118.76
South Korea,KOR,1961,14448706.17
South Korea,KOR,1962,17261588.4
South Korea,KOR,1963,21083170.11
South Korea,KOR,1964,22195154.01
South Korea,KOR,1965,24978308.22
South Korea,KOR,1966,29982232.73
South Korea,KOR,1967,35113238.32
South Korea,KOR,1968,37197142.07
South Korea,KOR,1969,42468220.65
South Korea,KOR,1970,53716353
South Korea,KOR,1971,58549776.1
South Korea,KOR,1972,60277321.56
South Korea,KOR,1973,73031868.23
South Korea,KOR,1974,75633062.58
South Korea,KOR,1975,81783998.71
South Korea,KOR,1976,93270791.89
South Korea,KOR,1977,105691588.4
South Korea,KOR,1978,113401741.9
South Korea,KOR,1979,133218860.1
South Korea,KOR,1980,134888634
South Korea,KOR,1981,139777507
South Korea,KOR,1982,141983230.7
South Korea,KOR,1983,151037772.1
South Korea,KOR,1984,164048804.7
South Korea,KOR,1985,178484827.8
South Korea,KOR,1986,182671831.2
South Korea,KOR,1987,192939850.2
South Korea,KOR,1988,222307858.4
South Korea,KOR,1989,236248187.1
South Korea,KOR,1990,247438196.7
South Korea,KOR,1991,262038316.3
South Korea,KOR,1992,282194043
South Korea,KOR,1993,321837776.4
South Korea,KOR,1994,344263753.4
South Korea,KOR,1995,373992430.8
South Korea,KOR,1996,401529873.6
South Korea,KOR,1997,427786068
South Korea,KOR,1998,363548260.1
South Korea,KOR,1999,398325257.6
South Korea,KOR,2000,445440883.6
South Korea,KOR,2001,448550576
South Korea,KOR,2002,463628014.2
South Korea,KOR,2003,462407318
South Korea,KOR,2004,478605780.5
South Korea,KOR,2005,459345663.5
South Korea,KOR,2006,465605909.8
South Korea,KOR,2007,493353218
South Korea,KOR,2008,505782554.4
South Korea,KOR,2009,506764540.7
South Korea,KOR,2010,565960924.7
South Korea,KOR,2011,588435086.6
South Korea,KOR,2012,583631976.4
South Korea,KOR,2013,591539733.6
South Korea,KOR,2014,586548009.4
South Korea,KOR,2015,590557520.6
South Korea,KOR,2016,595073678.8
South Korea,KOR,2017,616096686.8
United Kingdom,GBR,1950,500440112
United Kingdom,GBR,1951,544836800
United Kingdom,GBR,1952,528425744
United Kingdom,GBR,1953,540088256
United Kingdom,GBR,1954,552710736
United Kingdom,GBR,1955,576643984
United Kingdom,GBR,1956,574009568
United Kingdom,GBR,1957,570396864
United Kingdom,GBR,1958,555935056
United Kingdom,GBR,1959,546606132
United Kingdom,GBR,1960,584020017.6
United Kingdom,GBR,1961,588614801.4
United Kingdom,GBR,1962,592931498.6
United Kingdom,GBR,1963,603385663.2
United Kingdom,GBR,1964,607865989.4
United Kingdom,GBR,1965,622111621.4
United Kingdom,GBR,1966,618074666
United Kingdom,GBR,1967,592057027
United Kingdom,GBR,1968,606488304.6
United Kingdom,GBR,1969,628382547
United Kingdom,GBR,1970,652577395.1
United Kingdom,GBR,1971,660388283.8
United Kingdom,GBR,1972,648026448.4
United Kingdom,GBR,1973,659577321.9
United Kingdom,GBR,1974,617183889.6
United Kingdom,GBR,1975,603247367.3
United Kingdom,GBR,1976,598526349.6
United Kingdom,GBR,1977,604362139.4
United Kingdom,GBR,1978,604713988.3
United Kingdom,GBR,1979,644513312
United Kingdom,GBR,1980,579035974.7
United Kingdom,GBR,1981,560555006.5
United Kingdom,GBR,1982,548240956.1
United Kingdom,GBR,1983,545485794.2
United Kingdom,GBR,1984,529108886.3
United Kingdom,GBR,1985,559628081.2
United Kingdom,GBR,1986,568554785.6
United Kingdom,GBR,1987,571668517.3
United Kingdom,GBR,1988,570294855.4
United Kingdom,GBR,1989,581577310.6
United Kingdom,GBR,1990,601067551.5
United Kingdom,GBR,1991,609020421.9
United Kingdom,GBR,1992,593504125.9
United Kingdom,GBR,1993,579402782.1
United Kingdom,GBR,1994,575657386.1
United Kingdom,GBR,1995,566834101.6
United Kingdom,GBR,1996,588493462
United Kingdom,GBR,1997,562484735.6
United Kingdom,GBR,1998,567486178.9
United Kingdom,GBR,1999,560505345.8
United Kingdom,GBR,2000,567061452.3
United Kingdom,GBR,2001,575927499.8
United Kingdom,GBR,2002,560040954.1
United Kingdom,GBR,2003,571600968.8
United Kingdom,GBR,2004,573203764.5
United Kingdom,GBR,2005,570001049.8
United Kingdom,GBR,2006,567652245.2
United Kingdom,GBR,2007,559321980.6
United Kingdom,GBR,2008,544848238.5
United Kingdom,GBR,2009,494604731.5
United Kingdom,GBR,2010,512214253.3
United Kingdom,GBR,2011,469811462.2
United Kingdom,GBR,2012,487670753.9
United Kingdom,GBR,2013,477732571.4
United Kingdom,GBR,2014,438691177
United Kingdom,GBR,2015,422662553.9
United Kingdom,GBR,2016,398550884.1
United Kingdom,GBR,2017,384706788.6
United States,USA,1950,2535942336
United States,USA,1951,2612369712
United States,USA,1952,2545080352
United States,USA,1953,2605745200
United States,USA,1954,2483052496
United States,USA,1955,2721721792
United States,USA,1956,2852903984
United States,USA,1957,2828611664
United States,USA,1958,2740924816
United States,USA,1959,2823004702
United States,USA,1960,2887820432
United States,USA,1961,2877369848
United States,USA,1962,2984001744
United States,USA,1963,3116022372
United States,USA,1964,3252755199
United States,USA,1965,3388192678
United States,USA,1966,3559179160
United States,USA,1967,3693298171
United States,USA,1968,3828306054
United States,USA,1969,4021502617
United States,USA,1970,4325500825
United States,USA,1971,4351308657
United States,USA,1972,4558452642
United States,USA,1973,4762452212
United States,USA,1974,4592958261
United States,USA,1975,4400795008
United States,USA,1976,4607168187
United States,USA,1977,4735366318
United States,USA,1978,4882964043
United States,USA,1979,4894042875
United States,USA,1980,4716716355
United States,USA,1981,4530369843
United States,USA,1982,4301970691
United States,USA,1983,4335916563
United States,USA,1984,4468262025
United States,USA,1985,4484338153
United States,USA,1986,4487855840
United States,USA,1987,4680834052
United States,USA,1988,4885590503
United States,USA,1989,4948021163
United States,USA,1990,5121264461
United States,USA,1991,5070839400
United States,USA,1992,5174059076
United States,USA,1993,5284687882
United States,USA,1994,5377987137
United States,USA,1995,5439213314
United States,USA,1996,5626186717
United States,USA,1997,5703890708
United States,USA,1998,5752324190
United States,USA,1999,5832250178
United States,USA,2000,6000606067
United States,USA,2001,5902454993
United States,USA,2002,5943651279
United States,USA,2003,5991319569
United States,USA,2004,6106620735
United States,USA,2005,6132005704
United States,USA,2006,6052236286
United States,USA,2007,6130983563
United States,USA,2008,5932775281
United States,USA,2009,5495394958
United States,USA,2010,5701075808
United States,USA,2011,5570706560
United States,USA,2012,5366730281
United States,USA,2013,5519612557
United States,USA,2014,5568759258
United States,USA,2015,5420804127
United States,USA,2016,5310861406
United States,USA,2017,5269529513
