country,code,year,emission
South Korea,KOR,2009,506764540.7
South Korea,KOR,2010,565960924.7
South Korea,KOR,2011,588435086.6
South Korea,KOR,2012,583631976.4
South Korea,KOR,2013,591539733.6
South Korea,KOR,2014,586548009.4
South Korea,KOR,2015,590557520.6
South Korea,KOR,2016,595073678.8
South Korea,KOR,2017,616096686.8
United Kingdom,GBR,1990,601067551.5
United Kingdom,GBR,1991,609020421.9
United Kingdom,GBR,1992,593504125.9
United Kingdom,GBR,1993,579402782.1
United Kingdom,GBR,1994,575657386.1
United Kingdom,GBR,1995,566834101.6
United Kingdom,GBR,1996,588493462
United Kingdom,GBR,1997,562484735.6
United Kingdom,GBR,1998,567486178.9
United Kingdom,GBR,1999,560505345.8
United Kingdom,GBR,2000,567061452.3
United Kingdom,GBR,2001,575927499.8
United Kingdom,GBR,2002,560040954.1
United Kingdom,GBR,2003,571600968.8
United Kingdom,GBR,2004,573203764.5
United Kingdom,GBR,2005,570001049.8
United Kingdom,GBR,2006,567652245.2
United Kingdom,GBR,2007,559321980.6
United Kingdom,GBR,2008,544848238.5
United Kingdom,GBR,2009,494604731.5
United Kingdom,GBR,2010,512214253.3
United Kingdom,GBR,2011,469811462.2
United Kingdom,GBR,2012,487670753.9
United Kingdom,GBR,2013,477732571.4
United Kingdom,GBR,2014,438691177
United Kingdom,GBR,2015,422662553.9
United Kingdom,GBR,2016,398550884.1
United Kingdom,GBR,2017,384706788.6
United States,USA,1990,5121264461
United States,USA,1991,5070839400
United States,USA,1992,5174059076
United States,USA,1993,5284687882
United States,USA,1994,5377987137
United States,USA,1995,5439213314
United States,USA,1996,5626186717
United States,USA,1997,5703890708
United States,USA,1998,5752324190
United States,USA,1999,5832250178
United States,USA,2000,6000606067
United States,USA,2001,5902454993
United States,USA,2002,5943651279
United States,USA,2003,5991319569
United States,USA,2004,6106620735
United States,USA,2005,6132005704
United States,USA,2006,6052236286
United States,USA,2007,6130983563
United States,USA,2008,5932775281
United States,USA,2009,5495394958
United States,USA,2010,5701075808
United States,USA,2011,5570706560
United States,USA,2012,5366730281
United States,USA,2013,5519612557
United States,USA,2014,5568759258
United States,USA,2015,5420804127
United States,USA,2016,5310861406
United States,USA,2017,5269529513
World,OWID_WRL,1990,22181807367
World,OWID_WRL,1991,22429377426
World,OWID_WRL,1992,22195105131
World,OWID_WRL,1993,22153143108
World,OWID_WRL,1994,22533832969
World,OWID_WRL,1995,23007425377
World,OWID_WRL,1996,23522979106
World,OWID_WRL,1997,23915329404
World,OWID_WRL,1998,23984983896
World,OWID_WRL,1999,23930561468
World,OWID_WRL,2000,24558691083
World,OWID_WRL,2001,25137999688
World,OWID_WRL,2002,25494190555
World,OWID_WRL,2003,26866738381
World,OWID_WRL,2004,28187598935
World,OWID_WRL,2005,29254906351
World,OWID_WRL,2006,30286836386
World,OWID_WRL,2007,30880145296
World,OWID_WRL,2008,31875755797
World,OWID_WRL,2009,31523142973
World,OWID_WRL,2010,33066651212
World,OWID_WRL,2011,34357365920
World,OWID_WRL,2012,34919288710
World,OWID_WRL,2013,35207885978
World,OWID_WRL,2014,35505827039
World,OWID_WRL,2015,35462746737
World,OWID_WRL,2016,35675099439
World,OWID_WRL,2017,36153261645
